input,output,type,length_category,id
птица летит,птица летит,без изменений,короткий (10-50),1
"у меня дома живет пушистый кот, который любит спать на диване","у меня есть кот, который любит спать",упрощение текста,средний (51-200),2
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),3
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),4
я пошел в магазин чтобы купить молоко и хлеб,я пошел в магазин за молоком и хлебом,упрощение текста,короткий (10-50),5
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),6
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),7
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),8
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),9
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),10
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),11
"Из-за сильного дождя мы не смогли пойти на прогулку в парк, поэтому остались дома и смотрели телевизор весь вечер",Из-за дождя мы остались дома и смотрели телевизор,упрощение текста,средний (51-200),12
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),13
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),14
вчера я смотрел интересный фильм про космос,я смотрел фильм про космос,упрощение текста,короткий (10-50),15
мой друг пригласил меня на свой день рождения в субботу,друг пригласил меня на день рождения,упрощение текста,средний (51-200),16
я пошел в магазин чтобы купить молоко и хлеб,я пошел в магазин за молоком и хлебом,упрощение текста,короткий (10-50),17
машина едет,машина едет,без изменений,короткий (10-50),18
"сегодня на улице хорошая погода, солнце светит ярко","сегодня хорошая погода, солнце светит",упрощение текста,средний (51-200),19
"Вчера я ходил в большой торговый центр, который находится недалеко от моего дома, и купил там новую книгу, о которой давно мечтал",Я купил новую книгу в торговом центре,упрощение текста,средний (51-200),20
"у меня дома живет пушистый кот, который любит спать на диване","у меня дома живет пушистый кот, который любит спать на диване",грамматика,средний (51-200),21
"На уроке биологии учитель рассказывал про строение клетки, её органоиды и функции, и это было очень интересно",На биологии рассказывали про строение клетки,упрощение текста,средний (51-200),22
